Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
AER Memories of Old,12000,1200,90%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000052341
Mini Motorways,16800,13440,20%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000041240
A Gummy's Life,21900,5470,75%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000050271
ABC Follow Me: 동물,12990,1000,92%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000050368
Momodora: Reverie Under the Moonlight,23650,9460,60%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000016130
NOSTALGIC TRAIN,15990,11190,30%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000043351
아카데미 스토리2(Pocket Academy),15000,4950,67%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000032451
WINGSPAN (윙스팬),21500,10750,50%,2025-08-30,2025/9/4 23:59,https://store.nintendo.co.kr/70010000043991
전장의 푸가（Fuga: Melodies of Steel）,50400,25200,50%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000034071
Crash Drive 3,20500,1000,95%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000033687
Fantasy Tower Defense,6990,1000,86%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000043368
Sweet Bakery Tycoon - 스위트 베이커리 타이쿤,5600,1000,82%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000038679
넛츠（NUTS),20500,3070,85%,2025-08-30,2025/9/4 23:59,https://store.nintendo.co.kr/70010000041034
Rusty Spout Rescue Adventure,8000,2400,70%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000029802
My Little Ice Cream Booth,3590,1000,72%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000039567
던전 림버스(Dungeon Limbus),19000,4750,75%,2025-08-30,2025/9/19 23:59,https://store.nintendo.co.kr/70010000034315
태고의 달인 쿵딱! 두 가지 RPG 대모험,54800,16800,69%,2025-08-30,2025/9/23 23:59,https://store.nintendo.co.kr/70010000032292
좀비스쿨,4000,1000,75%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000034770
Construction Simulator 3 - Console Edition,20490,7170,65%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000024189
쓰론브레이커: 더 위쳐 테일즈,21000,5250,75%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000026348
Child Of Light,22000,4400,80%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000013586
Make it! Pancakes,7000,5000,29%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000100743
Skyline Bowling - 스카이볼링,7150,2850,60%,2025-08-30,2025/9/5 23:59,https://store.nintendo.co.kr/70010000103241
Dark Deity II,26700,21360,20%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000098875
눈과 두뇌를 단련하는 입체 시력 트레이닝,3900,2900,26%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000102316
두뇌 운동! 해파리 퍼즐,3900,2900,26%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000104069
Reel it! Ocean Fishing,12000,8800,27%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000100736
Sky of Destruction,14700,11760,20%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000091419
The Nameless City,11800,9440,20%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000086993
Candylands Journey,11800,9440,20%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000097088
Adventure of Samsara,21500,19350,10%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000082014
Fling to the Finish,20310,15230,25%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000067253
Find the Cats: Japan Journey,8340,5000,40%,2025-08-30,2025/9/11 23:59,https://store.nintendo.co.kr/70010000102469
We Are Busy Digging A Hole “ONLINE COOPERATIVE”,6700,3350,50%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000096838
틀린 글자 찾아라,3900,2900,26%,2025-08-30,2025/9/21 23:59,https://store.nintendo.co.kr/70010000103588
Death Mask,13000,11700,10%,2025-08-30,2025/9/16 23:59,https://store.nintendo.co.kr/70010000097257
Roadwarden,15000,12000,20%,2025-08-30,2025/9/13 23:59,https://store.nintendo.co.kr/70010000063730
Anime Girls: Nimble Ninja,9000,2990,67%,2025-08-30,2025/9/24 23:59,https://store.nintendo.co.kr/70010000103044
Grit and Valor - 1949,24900,17430,30%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000088560
CORE.SYS,5000,4000,20%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000100374
Poolside Boys Kiss: Passion Fruits Hotel Dating Sim,27390,10950,60%,2025-08-30,2025/9/21 23:59,https://store.nintendo.co.kr/70010000102238
Poolside Girls Kiss: Passion Fruits Hotel Dating Sim,27390,10950,60%,2025-08-30,2025/9/21 23:59,https://store.nintendo.co.kr/70010000102094
City of Springs,13000,6500,50%,2025-08-30,2025/9/6 23:59,https://store.nintendo.co.kr/70010000092593
BURGER Shot,5000,2800,44%,2025-08-30,2025/10/28 23:59,https://store.nintendo.co.kr/70010000099556
HeistGeist (하이스트가이스트),21500,19350,10%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000103411
Faye Falling,10000,8000,20%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000088972
Demons Are Coming!,13660,3990,71%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000100962
Anime Girls: Summer Vacay,9000,2990,67%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000103039
Twin Fighters X,3800,3420,10%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000098850
마지브릭（Magibrick）,7500,3000,60%,2025-08-30,2025/9/15 23:59,https://store.nintendo.co.kr/70010000097966
Pimp Up Dungeon,9500,1990,79%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000099481
Cozy Cooking: Tiny Tastes,10850,1990,82%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000099601
범인은 어디에?,3900,2900,26%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000102693
Hit! Spin! Watermelon Party,8000,5000,38%,2025-08-30,2025/10/21 23:59,https://store.nintendo.co.kr/70010000099716
Sugoi Girls: Firefighter Love,9000,2990,67%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000100678
Make it! Choco Banana,7000,5000,29%,2025-08-30,2025/10/7 23:59,https://store.nintendo.co.kr/70010000099360
